          nation  gold  silver  bronze  total
0         cyprus    32      30      20     82
1     luxembourg    30      15      27     72
2        iceland    20      23      25     68
3          malta     8      12       9     29
4  liechtenstein     6      10      11     27
5         monaco     6       9      14     29
6     montenegro     4       2       2      8
7        andorra     3       7       5     15
8     san marino     3       4      11     18
9          total   112     112     124    348
