                             race          date        location    pole position           fastest lap      race winner     constructor  report
0            brazilian grand prix    25 january      interlagos       james hunt  jean - pierre jarier       niki lauda         ferrari  report
1        south african grand prix       6 march         kyalami       james hunt            niki lauda       niki lauda         ferrari  report
2   united states grand prix west      28 march      long beach   clay regazzoni        clay regazzoni   clay regazzoni         ferrari  report
3              spanish grand prix         2 may          jarama       james hunt           jochen mass       james hunt  mclaren - ford  report
4              belgian grand prix        16 may          zolder       niki lauda            niki lauda       niki lauda         ferrari  report
5               monaco grand prix        30 may          monaco       niki lauda        clay regazzoni       niki lauda         ferrari  report
6              swedish grand prix       13 june      anderstorp   jody scheckter        mario andretti   jody scheckter  tyrrell - ford  report
7               french grand prix        4 july     paul ricard       james hunt            niki lauda       james hunt  mclaren - ford  report
8              british grand prix       18 july    brands hatch       niki lauda            niki lauda       niki lauda         ferrari  report
9               german grand prix      1 august     nürburgring       james hunt        jody scheckter       james hunt  mclaren - ford  report
10            austrian grand prix     15 august  österreichring       james hunt            james hunt      john watson   penske - ford  report
11               dutch grand prix     29 august       zandvoort  ronnie peterson        clay regazzoni       james hunt  mclaren - ford  report
12             italian grand prix  12 september           monza  jacques laffite       ronnie peterson  ronnie peterson    march - ford  report
13            canadian grand prix     3 october         mosport       james hunt     patrick depailler       james hunt  mclaren - ford  report
14       united states grand prix    10 october    watkins glen       james hunt            james hunt       james hunt  mclaren - ford  report
15            japanese grand prix    24 october   fuji speedway   mario andretti       masahiro hasemi   mario andretti    lotus - ford  report
