      date                              course  distance                     type                      winner
0   16 may              vatican city to formia         -              plain stage  wilfried reybrouck ( bel )
1   17 may                    formia to pompei         -              plain stage       patrick sercu ( bel )
2   18 may                  pompei to sorrento         -  stage with mountain (s)  josé manuel fuente ( esp )
3   19 may                            rest day  rest day                 rest day                    rest day
4   20 may                   sorrento to sapri         -              plain stage  roger de vlaeminck ( bel )
5   21 may                    sapri to taranto         -              plain stage  piermattia gavazzi ( ita )
6   22 may                   taranto to foggia         -              plain stage      franco bitossi ( ita )
7   23 may                    foggia to chieti         -              plain stage         ugo colombo ( ita )
8   24 may                  chieti to macerata         -              plain stage      franco bitossi ( ita )
9   25 may                macerata to carpegna         -  stage with mountain (s)  josé manuel fuente ( esp )
10  26 may                  carpegna to modena         -              plain stage       patrick sercu ( bel )
11  27 may                 modena to il ciocco         -  stage with mountain (s)  josé manuel fuente ( esp )
12  27 may        il ciocco to forte dei marmi         -              plain stage       patrick sercu ( bel )
13  28 may  forte dei marmi to forte dei marmi         -    individual time trial         eddy merckx ( bel )
14  29 may    forte dei marmi to pietra ligure         -              plain stage      enrico paolini ( ita )
15  30 may            pietra ligure to sanremo         -  stage with mountain (s)   giuseppe perletto ( ita )
16  31 may                  sanremo to valenza         -              plain stage   ercole gualazzini ( ita )
17  1 june                            rest day  rest day                 rest day                    rest day
18  2 june           valenza to monte generoso         -  stage with mountain (s)  josé manuel fuente ( esp )
19  3 june                        como to iseo         -  stage with mountain (s)    santiago lazcano ( esp )
20  4 june             iseo to sella valsugana         -  stage with mountain (s)      franco bitossi ( ita )
21  5 june        borgo valsugana to pordenone         -              plain stage      enrico paolini ( ita )
22  6 june   pordenone to tre cime di lavaredo         -  stage with mountain (s)  josé manuel fuente ( esp )
23  7 june      misurina to bassano del grappa         -  stage with mountain (s)         eddy merckx ( bel )
24  8 june         bassano del grappa to milan         -              plain stage        marino basso ( ita )
25  9 june                      giro di milano         -              plain stage        gianni motta ( ita )
26   total                               total         -                  km (mi)                     km (mi)
