    rd  pick           player                            team (league)  reg gp  pl gp
0    1     7      dan woodley             portland winterhawks ( whl )       5      0
1    3    49       don gibson       michigan state university ( ncaa )      14      0
2    4    70     ronnie stern           longueuil chevaliers ( qmjhl )      97      3
3    5    91      eric murano            university of denver ( ncaa )       0      0
4    6   112   steve herniman                  cornwall royals ( ohl )       0      0
5    7   133     jon helgeson  university of wisconsinmadison ( ncaa )       0      0
6    8   154       jeff noble                kitchener rangers ( ohl )       0      0
7    9   175      matt merten              providence college ( ncaa )       0      0
8   10   196       marc lyons               kingston canadians ( ohl )       0      0
9   11   217     todd hawkins                 belleville bulls ( ohl )       8      0
10  12   138  vladimir krutov                   hc cska moscow ( rus )      61      0
