    rank                 nation  gold  silver  bronze  total
0      1                 russia    11       3       6     20
1      2                 poland     5       1       1      7
2      3                ukraine     4       4       4     12
3      4                  china     3       5       1      9
4      5                 uganda     3       0       0      3
5      6                  japan     2       6       2     10
6      7                estonia     2       1       0      3
7      8                 brazil     2       0       1      3
8      8                germany     2       0       1      3
9     10                 turkey     1       3       1      5
10    11                  italy     1       1       2      4
11    12                jamaica     1       1       1      3
12    13            south korea     1       1       0      2
13    14                hungary     1       0       2      3
14    14           south africa     1       0       2      3
15    16            new zealand     1       0       1      2
16    17         czech republic     1       0       0      1
17    17                 latvia     1       0       0      1
18    17                  spain     1       0       0      1
19    20          great britain     0       2       4      6
20    21            switzerland     0       2       1      3
21    22                 canada     0       2       0      2
22    22               portugal     0       2       0      2
23    24                ireland     0       1       4      5
24    25                morocco     0       1       2      3
25    26                belgium     0       1       1      2
26    26                 france     0       1       1      2
27    26                 greece     0       1       1      2
28    29                algeria     0       1       0      1
29    29              australia     0       1       0      1
30    29                  egypt     0       1       0      1
31    29                finland     0       1       0      1
32    29                moldova     0       1       0      1
33    29                senegal     0       1       0      1
34    35                  kenya     0       0       2      2
35    36                   cuba     0       0       1      1
36    36             kazakhstan     0       0       1      1
37    36            north korea     0       0       1      1
38    36  serbia and montenegro     0       0       1      1
