            player  rec  yards   avg  td 's  long
0   trandon harvey   91   1314  14.4     28    45
1    jeremiah pope   70    903  12.9     23    41
2     atnaf harris   35    500  14.3      8    41
3   kevin mckenzie   36    464  12.9     12    45
4   randy gatewood   35    416  11.9     10    34
5     curtis fagan   26    290  11.2      2    30
6    darrell jones   23    231  10.0      1    29
7   cosmo dematteo   13    171  13.2      3    35
8         bo kelly    4     50  12.5      0    21
9         asi faoa    3     30  10.0      0    14
10  wendall gaines    1     16  16.0      1    16
11     craig moore    3     16   5.3      0     6
12   justin taplin    2     13   6.5      0     7
13  william fields    1      8   8.0      0     8
14       zach rupp    2      5   2.5      0     6
15   albrey battle    1      4   4.0      1     4
16      vince amey    1      2   2.0      1     2
