         date                 ship          type     nationality  tonnage grt
0    2 dec 16             voltaire    cargo ship  united kingdom         8618
1    4 dec 16            hallbjorg    cargo ship          norway         2586
2    6 dec 16         mount temple    cargo ship  united kingdom         9792
3    8 dec 16  duchess of cornwall  sailing ship  united kingdom          152
4    8 dec 16          king george    cargo ship  united kingdom         3852
5    9 dec 16       cambrian range    cargo ship  united kingdom         4235
6   10 dec 16              georgic    cargo ship  united kingdom        10077
7   11 dec 16           yarrowdale    cargo ship  united kingdom         4652
8   12 dec 16       saint theodore    cargo ship  united kingdom         4992
9   18 dec 16            dramatist    cargo ship  united kingdom         5415
10  26 dec 16               nantes  sailing ship          france         2679
11   2 jan 17             asnieres  sailing ship          france         3103
12   5 jan 17          hudson maru    cargo ship           japan         3798
13   8 jan 17          radnorshire    cargo ship  united kingdom         4310
14   9 jan 17               minteh    cargo ship  united kingdom         2890
15  10 jan 17        netherby hall    cargo ship  united kingdom         4461
16  15 feb 17       brecknockshire    cargo ship  united kingdom         8423
17  16 feb 17        french prince    cargo ship  united kingdom         4766
18  16 feb 17                eddie    cargo ship  united kingdom         2652
19  24 feb 17            katherine    cargo ship  united kingdom         2926
20   4 mar 17            rhodanthe    cargo ship  united kingdom         3061
21  10 mar 17           esmeraldas    cargo ship  united kingdom         4678
22  10 mar 17                otaki    cargo ship  united kingdom         9575
23  13 mar 17           demeterton    cargo ship  united kingdom         6048
24  14 mar 17             governor    cargo ship  united kingdom         5524
