                                   number & name                                   description                                        livery                                     owner (s)                                          date
0                                    operational                                   operational                                   operational                                   operational                                   operational
1                                nos 50321 51427              british rail class 101 dmcl dmbs                                br lined green                          renaissance railcars                                     1958 / 59
2                                      no e50266                   british rail class 101 dmcl         br unlined green with half yellow end                          renaissance railcars                                          1957
3                        no m51616 m51622 m59276         british rail class 127 dmbs dms tslrb                                br lined green                          red triangle society                                          1959
4   undergoing overhaul , restoration or repairs  undergoing overhaul , restoration or repairs  undergoing overhaul , restoration or repairs  undergoing overhaul , restoration or repairs  undergoing overhaul , restoration or repairs
5                               no e53645 w53926              british rail class 108 dmcl dmbs                              br blue and grey                     nottingham (gc) dmu group                                   1958 / 1959
6                                      no e59575                  british rail class 111 tslrb                                br lined green                          renaissance railcars                                          1960
7                                      no w79976              british railways ac cars railbus                                br lined green                    david clarke railway trust                                          1958
8                               stored or static                              stored or static                              stored or static                              stored or static                              stored or static
9                               no e50193 e50203                   british rail class 101 dmbs                              br blue and grey                          renaissance railcars                                          1957
10                       no w51138 w51151 w59501           british rail class 116 dmbs dms tcl                                br lined green                    pressed steel heritage ltd                                   1958 / 1960
