    rank           council area  speakers  population  percentage (%)
0      1   na h - eileanan siar     15811       26502            59.7
1      2               highland     12673      208914             6.1
2      3        city of glasgow      5739      577869             1.0
3      4        argyll and bute      4145       91306             4.5
4      5      city of edinburgh      3120      448624             0.7
5      6      perth and kinross      1434      134949             1.1
6      7       city of aberdeen      1412      212125             0.7
7      8                   fife      1106      349429             0.3
8      9      south lanarkshire      1079      302216             0.4
9     10      north lanarkshire      1021      321067             0.3
10    11           renfrewshire       988      172867             0.6
11    12               stirling       939       86212             1.1
12    13    east dunbartonshire       895      108243             0.8
13    14          aberdeenshire       871      226871             0.4
14    15         city of dundee       645      145663             0.4
15    16      east renfrewshire       590       89311             0.7
16    17           west lothian       571      158714             0.4
17    18         north ayrshire       557      135817             0.4
18    19                falkirk       529      145191             0.4
19    20                  angus       485      108400             0.4
20    21                  moray       459       86940             0.5
21    22  dumfries and galloway       448      147765             0.3
22    23    west dunbartonshire       437       93378             0.5
23    24         south ayrshire       417      112097             0.4
24    25             inverclyde       409       84203             0.5
25    26       scottish borders       376      106764             0.4
26    27          east ayrshire       368      120235             0.3
27    28           east lothian       341       90088             0.4
28    29       clackmannanshire       301       48077             0.6
29    30             midlothian       244       80941             0.3
30    31               shetland        97       21988             0.4
31    32                 orkney        92       19245             0.5
