        country  preliminaries  interview  swimsuit  evening gown  average
0      missouri           9.26       9.84      9.76          9.77     9.79
1    california           9.18       9.76      9.64          9.66     9.69
2  pennsylvania           9.32       9.75      9.63          9.54     9.64
3         texas           9.27       9.39      9.74          9.72     9.62
4       arizona           9.25       9.56      9.59          9.70     9.62
5      maryland           9.25       9.40      9.73          9.55     9.56
6      oklahoma           9.31       9.44      9.57          9.63     9.54
7      michigan           9.13       9.37      9.51          9.40     9.42
8  north dakota           9.40       9.15      9.30          9.38     9.27
9      new york           9.21       9.19      9.18          9.32     9.23
