    rnd           race      pole position        fastest lap     most laps led     winning driver                winning team  report
0     1  st petersburg       graham rahal      justin wilson     justin wilson       ryan briscoe               penske racing  report
1     2     long beach         will power       ryan briscoe  dario franchitti   dario franchitti  target chip ganassi racing  report
2     3         kansas       graham rahal       ryan briscoe       scott dixon        scott dixon  target chip ganassi racing  report
3     4   indianapolis  hélio castroneves   dario franchitti       scott dixon  hélio castroneves               penske racing  report
4     5      milwaukee       ryan briscoe        scott dixon      ryan briscoe        scott dixon  target chip ganassi racing  report
5     6          texas   dario franchitti       ryan briscoe      ryan briscoe  hélio castroneves               penske racing  report
6     7           iowa  hélio castroneves       hideki mutoh      ryan briscoe   dario franchitti  target chip ganassi racing  report
7     8       richmond   dario franchitti        scott dixon       scott dixon        scott dixon  target chip ganassi racing  report
8     9   watkins glen       ryan briscoe       ryan briscoe     justin wilson      justin wilson           dale coyne racing  report
9    10        toronto   dario franchitti       ryan briscoe  dario franchitti   dario franchitti  target chip ganassi racing  report
10   11       edmonton         will power        mike conway        will power         will power               penske racing  report
11   12       kentucky        scott dixon       ed carpenter       scott dixon       ryan briscoe               penske racing  report
12   13     mid - ohio       ryan briscoe        scott dixon       scott dixon        scott dixon  target chip ganassi racing  report
13   14         sonoma   dario franchitti  hélio castroneves  dario franchitti   dario franchitti  target chip ganassi racing  report
14   15    chicagoland       ryan briscoe    tomas scheckter      ryan briscoe       ryan briscoe               penske racing  report
15   16         motegi        scott dixon        scott dixon       scott dixon        scott dixon  target chip ganassi racing  report
