    year                         entrant           chassis    engine      pts
0   1960                scuderia ferrari      ferrari 246p   ferrari        8
1   1960                scuderia ferrari  ferrari dino 246   ferrari        8
2   1960       reventlow automobiles inc     scarab type 1    scarab        8
3   1961                scuderia ferrari       ferrari 156   ferrari       16
4   1962        owen racing organisation      brm p48 / 57       brm       10
5   1962        owen racing organisation           brm p57       brm       10
6   1963        owen racing organisation           brm p57       brm  29 (34)
7   1964        owen racing organisation          brm p261       brm       23
8   1965                    honda r&d co       honda ra272     honda       11
9   1966              cooper car company        cooper t81  maserati        5
10  1966                    honda r&d co       honda ra273     honda        5
11  1967           anglo american racers         eagle mk1   weslake        0
12  1967  advance muffler / bruce bromme         eagle mk1   weslake        0
