    year  class       team  points  wins
0   1958  350cc     norton       0     0
1   1958  500cc     norton       0     0
2   1959  350cc     norton       4     0
3   1959  500cc     norton       3     0
4   1960  350cc     norton       5     0
5   1960  500cc     norton       9     0
6   1961  250cc     suzuki       0     0
7   1961  350cc     norton       0     0
8   1961  500cc     norton       5     0
9   1962  125cc        emc       6     0
10  1962  500cc     norton       7     0
11  1963  350cc        ajs       0     0
12  1963  500cc  matchless       0     0
13  1964  350cc        ajs       5     0
14  1964  500cc  matchless      16     0
15  1965  350cc        ajs       1     0
16  1965  500cc  matchless      26     0
