                           tournament                               2001                               2002                               2003                               2005                               2006                               2007                               2008                               2009                               2010                               2011                               2012
0              grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments
1                     australian open                                 1r                                 1r                                  a                                  a                                  a                                  a                                 q2                                 3r                                 2r                                 2r                                  a
2                         french open                                 1r                                 q1                                  a                                  a                                  a                                 q2                                 1r                                 3r                                 1r                                 2r                                 3r
3                           wimbledon                                 1r                                  a                                  a                                  a                                 q3                                 q1                                 3r                                 1r                                  a                                 3r                                 1r
4                             us open                                 1r                                  a                                  a                                  a                                 1r                                 q2                                 1r                                 3r                                 2r                                 1r                                 2r
5                          win - loss                              0 - 4                              0 - 1                              0 - 0                              0 - 0                              0 - 1                              0 - 0                              2 - 3                              6 - 4                              2 - 3                              4 - 4                              3 - 3
6   wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments
7                        indian wells                                  a                                 q2                                  a                                  a                                  a                                  a                                  a                                 q1                                 qf                                 3r                                 1r
8                               miami                                 1r                                  a                                  a                                  a                                  a                                  a                                  a                                 2r                                 2r                                 3r                                  a
9                              madrid                           not held                           not held                           not held                           not held                           not held                           not held                           not held                                 1r                                 2r                                 1r                                  a
10                            beijing                           not held                           not held                           not held                         not tier i                         not tier i                         not tier i                         not tier i                                 3r                                 1r                                 2r                                 q1
11          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments
12                              dubai                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                  a                                 2r                                 1r                                np5
13                               rome                                  a                                 q1                                  a                                  a                                  a                                  a                                  a                                 qf                                  w                                 1r                                 1r
14                         cincinnati                           not held                           not held                           not held                         not tier i                         not tier i                         not tier i                         not tier i                                 2r                                  a                                 1r                                 1r
15                             canada                                  a                                  a                                  a                                  a                                 1r                                  a                                  a                                  a                                  a                                 3r                                 1r
16                              tokyo                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 1r                                 q1
17                 year - end ranking                                 92                                278                                348                                397                                109                                173                                 92                                 27                                 28                                 35                                161
