    rank         nation  gold  silver  bronze  total
0      1           cuba     4       2       3      9
1      2       bulgaria     2       1       2      5
2      3        germany     2       1       1      4
3      4   soviet union     1       4       2      7
4      5  united states     1       1       1      3
5      6        hungary     1       0       0      1
6      6          italy     1       0       0      1
7      8    north korea     0       1       1      2
8      8    south korea     0       1       1      2
9     10    netherlands     0       1       0      1
10    11      australia     0       0       2      2
11    11         canada     0       0       2      2
12    11        romania     0       0       2      2
13    14        algeria     0       0       1      1
14    14          egypt     0       0       1      1
15    14    new zealand     0       0       1      1
16    14        nigeria     0       0       1      1
17    14         norway     0       0       1      1
18    14    puerto rico     0       0       1      1
19    14         turkey     0       0       1      1
