   year                   entrant                chassis          engine  points
0  1951            viking trailer               lesovsky  offenhauser l4       0
1  1952             peter schmidt      kurtis kraft 3000  offenhauser l4       0
2  1953               blakely oil              schroeder  offenhauser l4       0
3  1954            dean van lines    kuzma indy roadster  offenhauser l4       6
4  1955            dean van lines    kuzma indy roadster  offenhauser l4       0
5  1956            dean van lines    kuzma indy roadster  offenhauser l4       0
6  1957            dean van lines    kuzma indy roadster  offenhauser l4       4
7  1958  belond ap / george salih  epperly indy roadster  offenhauser l4       8
8  1959  belond ap / george salih  epperly indy roadster  offenhauser l4       0
9  1960               metal - cal  epperly indy roadster  offenhauser l4       0
