            nation  gold  silver  bronze  total
0          germany     9       6       3     18
1          hungary     9       3       6     18
2           poland     0       3       4      7
3          belarus     1       2       1      4
4           russia     1       2       1      4
5         slovakia     1       2       1      4
6          romania     1       1       1      3
7        lithuania     0       1       2      3
8           serbia     0       1       2      3
9           canada     1       1       0      2
10  united kingdom     1       1       0      2
11          france     1       0       1      2
12           spain     1       0       1      2
13         finland     0       2       0      2
14           china     0       1       1      2
15         ukraine     1       0       0      1
16            cuba     0       1       0      1
17          norway     0       0       1      1
18        slovenia     0       0       1      1
19          sweden     0       0       1      1
20           total    27      27      27     81
