                  year                     category                genre            recording               result
0  latin grammy awards          latin grammy awards  latin grammy awards  latin grammy awards  latin grammy awards
1                 2008              best new artist              general          kany garcía                  won
2                 2008  best female pop vocal album                  pop        cualquier día                  won
3                 2008             song of the year                  pop        hoy ya me voy            nominated
4                 2008            album of the year              general        cualquier día            nominated
5                 2010  best female pop vocal album                  pop    boleto de entrada            nominated
6                 2012           record of the year              general      que te vaya mal            nominated
7        grammy awards                grammy awards        grammy awards        grammy awards        grammy awards
8                 2011         best latin pop album                latin    boleto de entrada            nominated
9                 2013         best latin pop album                latin          kany garcia            nominated
