               club  played  drawn  lost  points for  points against  bonus points  points
0              club  played  drawn  lost  points for  points against  bonus points  points
1          clermont      26      0     6         773             380            16      96
2          toulouse      26      0     7         723             394            15      91
3   stade franã§ais      26      0     8         617             417             8      80
4         perpignan      26      2     7         531             392             7      79
5           castres      26      0    11         564             524             9      69
6          biarritz      26      1    12         385             339            12      66
7         montauban      26      0    13         420             446            11      63
8       montpellier      26      0    12         426             490             5      61
9           bayonne      26      1    14         457             535             8      54
10         bourgoin      26      2    14         453             526             8      52
11            brive      26      0    16         425             514            11      51
12             albi      26      1    16         415             549            10      48
13              dax      26      1    19         314             645             8      34
14             auch      26      0    23         336             688             7      19
