     res      record         opponent                method                                               event  round  time        location
0   loss  11 - 5 - 1   marloes coenen            ko (punch)             smackgirl 2005: cool fighter last stand      2  0:50  numazu , japan
1   loss  11 - 4 - 1   amanda buckner  submission (kneebar)  smackgirl 2004: yuuki kondo retirement celebration      2  0:41   tokyo , japan
2    win  11 - 3 - 1       sarah boyd  submission (keylock)                             smackgirl 2004: go west      3  3:35   osaka , japan
3    win  10 - 3 - 1  fatiha abalhaja   submission (armbar)                        smackgirl : third season iii      3  3:28   tokyo , japan
4    win   9 - 3 - 1      mayra conde   submission (armbar)                          smackgirl : third season i      1  2:20   tokyo , japan
5    win   8 - 3 - 1      keiko tamai      decision (3 - 0)              smackgirl : japan cup 2002 grand final      3  5:00   tokyo , japan
6   loss   7 - 3 - 1   angela reestad   submission (armbar)                                            ax vol 4      1  2:18   tokyo , japan
7    win   7 - 2 - 1   yuki morimatsu   submission (armbar)                                            ax vol 3      1  1:23   tokyo , japan
8   draw   6 - 2 - 1   yoko takahashi                  draw              zero - one : true century creation '02      3  3:00   tokyo , japan
9    win   6 - 2 - 0     hiromi kanai   submission (armbar)                       smackgirl : pioneering spirit      1  0:34   tokyo , japan
10  loss   5 - 2 - 0    ikuma hoshino      decision (0 - 3)                         ax vol 1: we do the justice      3  5:00   tokyo , japan
11   win   5 - 1 - 0     mika harigai   submission (armbar)                                  smackgirl : alive!      1  1:34   tokyo , japan
12   win   4 - 1 - 0      megumi sato   submission (armbar)                           smackgirl : burning night      1  0:44   tokyo , japan
13   win   3 - 1 - 0       aya koyama      decision (3 - 0)                         smackgirl : fighting chance      3  5:00   tokyo , japan
14   win   2 - 1 - 0     mika harigai   submission (armbar)                           smackgirl : starting over      1  0:49   tokyo , japan
15   win   1 - 1 - 0         yuta dum    tko (ankle injury)                              remix golden gate 2001      1  5:00   tokyo , japan
16  loss   0 - 1 - 0   marloes coenen   submission (armbar)                llpw : l - 1 2000 the strongest lady      1  2:37   tokyo , japan
