                country  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  1999  1998  1997  1996  1995  1994  1993  1992  1991  1990  1989  1988
0         united states    31    37    32    32    31    34    39    41    41    49    47    48    51    56    55    56    58    56    52    49    53    60    58    55    59
1             australia     9    10     9    10    10    12    11    12    11     7     9     5     5     6     9     8     7     8     8     9    11    11    12    12     9
2               england     8     8    11    11     8     9    11    11     7     7     4     4     1     2     3     3     4     5     8     9     7     5     3     6     4
3                sweden     8     4     4     4     7     6     6     3     4     3     4     6     5     4     4     3     2     3     4     5     3     0     0     1     1
4          south africa     6     8     6     8     9     7     6     5     5     5     4     3     3     3     3     3     3     2     5     5     3     3     2     2     3
5                 spain     6     5     4     4     5     4     4     3     2     5     2     3     4     3     2     3     1     4     3     3     3     3     4     4     2
6                 japan     4     6     8     8     8     3     5     5     4     4     5     9     9     7     5     5     6     7     3     3     5     4     4     5     8
7           south korea     4     4     4     2     1     2     3     2     3     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0
8              scotland     4     2     2     0     0     1     1     1     3     3     2     5     4     3     3     3     3     2     4     4     3     4     4     3     3
9               denmark     3     2     2     3     3     3     1     1     2     1     3     1     1     1     1     1     0     0     0     0     0     0     0     0     0
10     northern ireland     2     3     3     2     4     0     1     2     2     1     1     1     1     1     1     1     1     1     3     3     2     2     2     2     1
11                italy     2     3     3     2     1     0     0     0     0     0     0     0     0     0     1     1     1     1     1     1     0     0     0     0     0
12              germany     2     1     1     1     1     2     0     1     2     2     2     1     1     2     1     1     2     2     1     1     1     1     1     1     1
13              ireland     2     1     1     1     1     1     2     2     2     1     2     2     3     1     1     2     3     1     0     0     1     1     3     2     2
14             thailand     2     0     1     2     2     2     1     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
15                india     2     0     0     1     1     2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
16                wales     1     1     2     0     0     1     2     2     1     2     2     2     2     1     1     1     1     1     1     1     1     1     1     1     1
17                 fiji     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     1     0
18              belgium     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
19              austria     1     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
20             zimbabwe     1     0     0     0     0     0     0     0     1     1     1     2     1     1     1     1     1     2     3     3     3     2     3     2     3
21               france     0     1     2     1     0     1     0     2     2     0     1     0     1     1     0     0     0     0     0     0     0     0     0     0     0
22             colombia     0     1     1     1     1     1     0     0     0     0     0     0     0     0     1     1     0     0     0     0     0     0     0     0     0
23          netherlands     0     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
24            argentina     0     0     1     1     2     2     1     1     2     3     4     4     3     2     1     1     0     1     1     1     2     1     1     1     0
25                china     0     0     1     1     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
26               canada     0     0     0     2     2     2     2     2     1     1     1     1     2     2     1     1     1     0     0     0     0     0     0     1     1
27          new zealand     0     0     0     1     1     1     1     2     1     3     4     1     1     1     2     2     3     3     2     1     1     1     1     0     0
28               taiwan     0     0     0     1     1     0     0     0     0     0     0     1     0     0     0     0     0     0     0     1     0     0     0     1     1
29              finland     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
30             paraguay     0     0     0     0     0     0     0     1     1     0     0     0     1     1     1     1     1     0     0     0     0     0     0     0     0
31  trinidad and tobago     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
32          philippines     0     0     0     0     0     0     0     0     0     0     0     0     0     1     1     1     1     0     0     0     0     0     0     0     0
33              namibia     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0
