   round  pick  overall               name        position          college
0      1     6        6       barry krauss      linebacker          alabama
1      3    13       69       kim anderson  defensive back    arizona state
2      5     5      115      larry braziel  defensive back              usc
3      6    13      150        jimmy moore           guard       ohio state
4      8     5      197  steve heimkreiter      linebacker       notre dame
5      8    16      208      nesby glasgow          safety       washington
6      9     4      224     russ henderson          punter         virginia
7     10     6      254     steve stephens       tight end   oklahoma state
8     11     5      280     john priestner      linebacker  western ontario
9     12     3      306      charlie green   wide receiver     kansas state
