    rank  matches as champion  reigns as champion  title matches won    title last held
0      1                  103                  20                 86      28 march 2007
1      2                   88                  21                 73       20 june 2000
2      3                   70                  12                 57    15 october 2013
3      4                   65                   9                 49       11 july 2010
4      5                   50                   6                 41   23 february 2000
5      6                   37                   7                 29       12 july 1998
6      7                   36                   9                 27       17 june 2000
7      8                   34                   6                 25      28 march 2001
8      9                   30                   7                 28    6 february 2013
9     10                   30                   9                 27     22 august 2007
10    11                   27                   7                 17  10 september 2008
11    12                   24                   5                 17   7 september 2010
12    13                   23                   5                 15      31 march 2004
13    14                   20                   7                 17  current champions
14    15                   16                   2                 12       16 june 1968
15    16                   16                   1                 11   15 november 2011
16    17                   14                   7                 10       26 june 1994
17    18                   13                   8                 12  14 september 1988
18    19                   13                   3                  8    31 january 1995
19    20                   13                   4                 11      30 march 1982
20    21                   13                   1                 10    23 january 2013
21    22                   12                   2                 11        24 may 2008
22    23                   11                   2                  7    5 december 1979
23    24                   11                   4                  7       22 june 1982
24    25                   10                   4                  8        23 may 2006
25    26                    9                   3                  6   4 september 1985
26    27                    8                   4                  5    14 october 1933
27    28                    8                   1                  7      27 march 2005
28    29                    8                   1                  7     8 october 2005
29    30                    7                   4                  5    17 january 1990
30    31                    6                   1                  5   4 september 1963
31    32                    5                   3                  5        31 may 1995
32    33                    5                   2                  3        29 may 2004
33    34                    5                   3                  5      20 april 1994
34    35                    5                   2                  4         7 may 1989
35    36                    4                   2                  4   16 november 2005
36    37                    3                   2                  2        4 june 1992
37    38                    3                   2                  3     23 august 1989
38    39                    3                   1                  2     22 august 1965
39    40                    3                   2                  2       14 june 1992
40    41                    2                   1                  2      24 march 2007
41    42                    2                   1                  1      26 april 2000
42    43                    2                   1                  1    17 october 2007
43    44                    1                   1                  1      24 march 1963
44    45                    1                   1                  1    18 october 2006
45    46                    1                   1                  1    4 february 1995
46    47                    1                   1                  1       18 june 1992
47    48                    1                   1                  1      28 march 1963
