    school year             class a                                     class aa                 class aaa          class aaaa                  class aaaaa
0     1990 - 91        valley mills                                     canadian                  lampasas         waco midway                      lubbock
1     1991 - 92        valley mills                                     canadian                      troy       highland park                      lubbock
2     1992 - 93             lindsay                                    wimberley                  seminole          kingsville           san antonio holmes
3     1993 - 94             lindsay                                     canadian                     cuero         north lamar            fort worth dunbar
4     1994 - 95             lindsay                                        troup             waco connally         north lamar                        plano
5     1995 - 96                rule                                     canadian                 wimberley      austin johnson             houston bellaire
6     1996 - 97                vega                          stinnett west texas                bridgeport         waco midway                       humble
7     1997 - 98             moulton                          stinnett west texas                 wimberley       highland park                       humble
8     1998 - 99       lenorah grady                                      lindsay                 wimberley       highland park              arlington lamar
9   1999 - 2000              hedley                          stinnett west texas                bridgeport  gregory - portland             houston bellaire
10    2000 - 01       lenorah grady                                      seymour                bridgeport            carthage              arlington lamar
11    2001 - 02  (tie) sudan / vega                                       argyle                  seminole      fredericksburg  south texas science academy
12    2002 - 03        port aransas                                       argyle                 wimberley        jacksonville          fort bend hightower
13    2003 - 04                vega                                       argyle                 ballinger       wichita falls                  katy taylor
14    2004 - 05  kingsville academy                                       argyle                 wimberley         friendswood          sugar land clements
15    2005 - 06         garden city                                       argyle                     cuero       highland park          sugar land clements
16    2006 - 07         garden city                                     floydada                     cuero       highland park          sugar land clements
17    2007 - 08              harper                                     floydada                    argyle       highland park          sugar land clements
18    2008 - 09             lindsay  (tie) north hills school irving / white oak                   whitney       highland park            sugar land dulles
19    2009 - 10            canadian                    north hills school irving  (tie) la feria / whitney       highland park          sugar land clements
20    2010 - 11               avery                                      whitney                  la feria       highland park           fort worth paschal
21    2011 - 12         valley view                                      whitney                  la feria       highland park            sugar land dulles
