                            round                          venue                     discipline                           date                              winner                              second                               third
0                               1                     düsseldorf                0.8 km f sprint                27 october 2007           natalya matveyeva ( rus )               marit bjørgen ( nor )               anna dahlberg ( swe )
1                               2                    beitostølen             10 km f individual               24 november 2007               marit bjørgen ( nor )            vibeke skofterud ( nor )             charlotte kalla ( swe )
2                               3                        kuusamo                1.2 km c sprint                1 december 2007                petra majdič ( slo )  astrid uhrenholdt jacobsen ( nor )           alena procházková ( svk )
3                               4                        kuusamo             10 km c individual                2 december 2007               marit bjørgen ( nor )  astrid uhrenholdt jacobsen ( nor )           justyna kowalczyk ( pol )
4                               5                          davos             10 km c individual                8 december 2007              virpi kuitunen ( fin )            vibeke skofterud ( nor )      kristin størmer steira ( nor )
5                               6                        rybinsk             15 km f mass start               15 december 2007  astrid uhrenholdt jacobsen ( nor )        natalya korostelyova ( rus )        riitta liisa roponen ( fin )
6                               7                        rybinsk                1.3 km f sprint               16 december 2007              kikkan randall ( usa )  astrid uhrenholdt jacobsen ( nor )        natalya korostelyova ( rus )
7                     tour de ski                    tour de ski                    tour de ski                    tour de ski                         tour de ski                         tour de ski                         tour de ski
8                               8                     nové město              3.3 km c prologue               28 december 2007              virpi kuitunen ( fin )         aino kaisa saarinen ( fin )           justyna kowalczyk ( pol )
9                               9                     nové město         10 km f handicap start               29 december 2007             charlotte kalla ( swe )              sabina valbusa ( ita )               marit bjørgen ( nor )
10                             10                         prague                  1 km f sprint               30 december 2007              arianna follis ( ita )               pirjo muranen ( fin )               marit bjørgen ( nor )
11                             11                     nové město         10 km f handicap start                 1 january 2008             charlotte kalla ( swe )      kristin størmer steira ( nor )     claudia künzel - nystad ( ger )
12                             12                     nové město             10 km c individual                 2 january 2008         aino kaisa saarinen ( fin )              virpi kuitunen ( fin )              therese johaug ( nor )
13                             13                         asiago                1.2 km f sprint                 4 january 2008             charlotte kalla ( swe )         natalia korosteleva ( rus )           justyna kowalczyk ( pol )
14                             14                  val di fiemme             10 km c mass start                 5 january 2008              virpi kuitunen ( fin )             charlotte kalla ( swe )     claudia künzel - nystad ( ger )
15                             15                  val di fiemme          9 km f handicap start                 6 january 2008        valentina shevchenko ( ukr )      kristin størmer steira ( nor )     claudia künzel - nystad ( ger )
16  tour de ski - final standings  tour de ski - final standings  tour de ski - final standings  tour de ski - final standings             charlotte kalla ( swe )              virpi kuitunen ( fin )              arianna follis ( ita )
17             end of tour de ski             end of tour de ski             end of tour de ski             end of tour de ski                  end of tour de ski                  end of tour de ski                  end of tour de ski
18                             16                        canmore           10 + 10 km m pursuit                22 january 2008           justyna kowalczyk ( pol )         yevgeniya medvedeva ( rus )                olga rocheva ( rus )
19                             17                        canmore                1.2 km c sprint                23 january 2008                petra majdič ( slo )  astrid uhrenholdt jacobsen ( nor )           justyna kowalczyk ( pol )
20                             18                        canmore             10 km f individual                25 january 2008        valentina shevchenko ( ukr )         yevgeniya medvedeva ( rus )           justyna kowalczyk ( pol )
21                             19                        canmore                1.2 km f sprint                26 january 2008            chandra crawford ( can )               pirjo muranen ( fin )                magda genuin ( ita )
22                             20                         otepää             10 km c individual                9 february 2008              virpi kuitunen ( fin )         aino kaisa saarinen ( fin )              therese johaug ( nor )
23                             21                         otepää                1.2 km c sprint               10 february 2008                petra majdič ( slo )  astrid uhrenholdt jacobsen ( nor )              virpi kuitunen ( fin )
24                             22                        liberec            7.6 km f individual               16 february 2008  astrid uhrenholdt jacobsen ( nor )           justyna kowalczyk ( pol )             charlotte kalla ( swe )
25                             23                          falun           10 + 10 km m pursuit               23 february 2008  astrid uhrenholdt jacobsen ( nor )               marit bjørgen ( nor )         aino kaisa saarinen ( fin )
26                             24                      stockholm                  1 km c sprint               27 february 2008              virpi kuitunen ( fin )                petra majdič ( slo )              madoka natsumi ( jpn )
27                             25                          lahti                1.2 km f sprint                   1 march 2008            chandra crawford ( can )           natalya matveyeva ( rus )   evi sachenbacher - stehle ( ger )
28                             26                          lahti             10 km c individual                   2 march 2008              virpi kuitunen ( fin )        valentina shevchenko ( ukr )               katrin zeller ( ger )
29                             27                        drammen                  1 km c sprint                   5 march 2008              virpi kuitunen ( fin )                petra majdič ( slo )  astrid uhrenholdt jacobsen ( nor )
30                             28                           oslo             30 km f individual                   8 march 2008        valentina shevchenko ( ukr )             charlotte kalla ( swe )     claudia künzel - nystad ( ger )
31                world cup final                world cup final                world cup final                world cup final                     world cup final                     world cup final                     world cup final
32                             29                         bormio              2.5 km f prologue                  14 march 2008     claudia künzel - nystad ( ger )  astrid uhrenholdt jacobsen ( nor )        riitta liisa roponen ( fin )
33                             30                         bormio             10 km c mass start                  15 march 2008              virpi kuitunen ( fin )           justyna kowalczyk ( pol )     claudia künzel - nystad ( ger )
34                             30                         bormio         10 km f handicap start                  16 march 2008              virpi kuitunen ( fin )           justyna kowalczyk ( pol )     claudia künzel - nystad ( ger )
