    pick             player    position    nationality                 nhl team        college / junior / club team
0     33        bob nystrom  right wing         canada       new york islanders          calgary centennials (wchl)
1     34       jean lemieux     defence         canada           atlanta flames          sherbrooke castors (qmjhl)
2     35        paul raymer   left wing         canada        vancouver canucks          peterborough petes (omjhl)
3     36     dave hutchison     defence         canada        los angeles kings              london knights (omjhl)
4     37      jim mcmasters     defence         canada           buffalo sabres          calgary centennials (wchl)
5     38        paul shakes     defence         canada  california golden seals   st catharines black hawks (omjhl)
6     39         jim watson     defence         canada      philadelphia flyers          calgary centennials (wchl)
7     40       denis herron  goaltender         canada      pittsburgh penguins  trois - riviã¨res draveurs (qmjhl)
8     41         jean hamel     defence         canada           st louis blues       drummondville rangers (qmjhl)
9     42        bob krieger      centre  united states        detroit red wings         university of denver (wcha)
10    43  denis deslauriers     defence         canada      toronto maple leafs          shawinigan dynamos (qmjhl)
11    44         terry ryan      centre         canada    minnesota north stars          hamilton red wings (omjhl)
12    45        mike veisor  goaltender         canada      chicago black hawks          peterborough petes (omjhl)
13    46         ed gilbert      centre         canada       montreal canadiens          hamilton red wings (omjhl)
14    47       gerry teeple      centre         canada         new york rangers             cornwall royals (qmjhl)
15    48    michel boudreau      centre         canada            boston bruins              laval national (qmjhl)
