                                   sanskrit संस्कृतम्                 tamil தமிழ்                 telugu తెలుగు                    kannada ಕನ್ನಡ                      malayalam മലയാളം                mongolian
0                                     ashvinī अश्विनी              aswini அஸ்வினி               ashwini అశ్విని                  ashwini ಅಶ್ವಿನಿ                        ashvati അശ്വതി                   шийдэм
1                                        bharanī भरणी                 paraṇi பரணி                  bharani భరణి                     bharani ಭರಣಿ                          bharaṇi ഭരണി               гоё хүүхэн
2                                   krittikā कृत्तिका        kārttikai கார்த்திகை               kritika కృత్తిక                 kritika ಕೃತ್ತಿಕಾ                     kārttika കാർത്തിക  нэг эхт зургаан хөвгүүн
3                                       rohini रोहिणी               rōkiṇi ரோகிணி                 rohini రోహిణి                    rohini ರೋಹಿಣಿ                         rōhiṇi രോഹിണി                чөлөөт эх
4                            mrigashīrsha म्रृगशीर्षा  mirugacīriṭam மிருகசீரிடம்              mrigasira మృగశిర                mrigashira ಮೃಗಶಿರ                      makayiram മകയിരം          гөрөөсөн толгой
5                                         ārdrā आद्रा      tiruvātirai திருவாதிரை                 arudra ఆరుద్ర                     ardra ಆರ್ದ್ರ  ātira or tiruvātira ആതിര (തിരുവാതിര)             хэрцгий охин
6                                  punarvasu पुनर्वसु       punarpūsam புனர்பூசம்            punarvasu పునర్వసు               punarvasu ಪುನರ್ವಸು                       puṇartam പുണർതം              өглөгт охин
7                                        pushya पुष्य                 pūsam பூசம்                  pushya పుష్య                   pushyami ಪುಷ್ಯ                            pūyam പൂയം               найралт эх
8                          āshleshā आश्ळेषा / आश्लेषा            āyilyam ஆயில்யம்               ashlesha ఆశ్లేష                  ashlesha ಆಶ್ಲೇಷ                       āyilyam ആയില്യം                     үнэг
9                                           maghā मघा                  makam மகம்                     maghaa మఘ                         magha ಮಘ                             makam മകം                  их морь
10             pūrva or pūrva phalgunī पूर्व फाल्गुनी                 pūram பூரம்           pubba పుబ్బ / పూర్వ             poorva ಪೂರ್ವ / ಪುಬ್ಬ                            pūram പൂരം                бага морь
11           uttara or uttara phalgunī उत्तर फाल्गुनी            uttiram உத்திரம்                  uttara ఉత్తర                    uttara ಉತ್ತರಾ                           utram ഉത്രം                  харцага
12                                         hasta हस्त               astham அஸ்தம்                    hasta హస్త                      hastaa ಹಸ್ತ                           attam അത്തം                   тугчин
13                                      chitrā चित्रा          chittirai சித்திரை                 chittaa చిత్త                     chitra ಚಿತ್ತ              chittira ചിത്തിര (ചിത്ര)           тэргүүн дагуул
14                                       svātī स्वाती               suwāti சுவாதி                 swaati స్వాతి                    swathi ಸ್ವಾತಿ                            chōti ചോതി               салхины эх
15                                    vishākhā विशाखा             visākam விசாகம்               vishaakha విశాఖ                   vishakha ವಿಶಾಖ                      vishākham വിശാഖം          эрхтний тэнгэрт
16                                   anurādhā अनुराधा              anusham அனுஷம்              anuraadha అనురాధ                 anuradha ಅನುರಾಧಾ                         anizham അനിഴം                   гар од
17                                  jyeshtha ज्येष्ठा               kēṭṭai கேட்டை              jyesthaa జ్యేష్ఠ                  jyestha ಜ್ಯೇಷ್ಠ   kēṭṭa (trikkēṭṭa) കേട്ട (തൃക്കേട്ട)                хонгорцог
18                                           mūla मूल                 mūlam மூலம்                    moolaa మూల                       moola ಮೂಲಾ                            mūlam മൂലം                    онгоц
19                           pūrva ashādhā पूर्वाषाढा             pūrāṭam பூராடம்       poorvashaadha పూర్వాషాఢ           poorvashadha ಪುರ್ವಾಷಾಢ                        pūrāṭam പൂരാടം                   суулга
20                          uttara ashādhā उत्तराषाढा        uttirāṭam உத்திராடம்       uttarashaadha ఉత్తరాషాఢ           uttarashadha ಉತ್ತರಾಷಾಢ                       utrāṭam ഉത്രാടം          элдэв тэнгэртэн
21                                     shravana श्रवण         tiruvōnam திருவோணம்                shravana శ్రవణ                   shravana ಶ್ರವಣ              tiruvōnam ഓണം (തിരുവോണം)    булаагч / яруу эгшигт
22      shravishthā or dhanishta श्रविष्ठा or धनिष्ठा            aviṭṭam அவிட்டம்              dhanishta ధనిష్ఠ                 dhanishta ಧನಿಷ್ಠ                       aviṭṭam അവിട്ടം                    тооно
23        shatabhishā or shatataraka शतभिषा / शततारका               sadayam சதயம்           shatabhisham శతభిషం                shatabhisha ಶತಭಿಷ                         chatayam ചതയം                    чөдөр
24   pūrva bhādrapadā पूर्वभाद्रपदा / पूर्वप्रोष्ठपदा        pūraṭṭādhi பூரட்டாதி   poorvabhadraa పూర్వ భాద్రపద  poorva bhadrapada ಪೂರ್ವ ಭಾದ್ರಪದ              pūruruṭṭāti പൂരുരുട്ടാതി            шувуун хошуут
25  uttara bhādrapadā उत्तरभाद्रपदा / उत्तरप्रोष्ठपदा     uttṛṭṭādhi உத்திரட்டாதி  uttaraa bhadra ఉత్తర భాద్రపద  uttara bhadrapada ಉತ್ತರ ಭಾದ್ರಪದ                  uttṛṭṭāti ഉത്രട്ടാതി             могой хүлэгч
26                                       revati रेवती               rēvathi ரேவதி                  revati రేవతి                     revati ರೇವತಿ                          rēvati രേവതി             дэлгэрүүлэгч
