     rank          nation  gold  silver  bronze  total
0       1           japan     9       2       4     15
1       2     south korea     3       9       3     15
2       3            iran     2       0       3      5
3       4        mongolia     1       1       8     10
4       5     north korea     1       1       2      4
5       6      kazakhstan     0       2       4      6
6       7      tajikistan     0       1       0      1
7       8  chinese taipei     0       0       4      4
8       9    turkmenistan     0       0       2      2
9      10        thailand     0       0       1      1
10  total           total    16      16      31     63
