   pos  car         driver       make                        team
0    1    5   mike skinner     toyota           bill davis racing
1    2   99   erik darnell       ford         roush fenway racing
2    3   88   matt crafton  chevrolet            thorsport racing
3    4   15  john andretti     toyota    billy ballew motorsports
4    5   33   ron hornaday  chevrolet  kevin harvick incorporated
5    6   51     kyle busch     toyota    billy ballew motorsports
6    7   40     jeff green  chevrolet             key motorsports
7    8    7       t j bell  chevrolet          the racer 's group
8    9   30    todd bodine     toyota              germain racing
9   10   81    donny lia r  chevrolet      randy moss motorsports
