   rank                nation  gold  silver  bronze  total
0     1  norway (host nation)     7       3       6     16
1     2         united states     4       6       1     11
2     3               finland     3       4       2      9
3     4               germany     3       2       2      7
4     5               austria     2       4       2      8
5     6                canada     1       0       1      2
6     6                 italy     1       0       1      2
7     8         great britain     1       0       0      1
8     9           netherlands     0       3       0      3
9    10                sweden     0       0       4      4
